Date,Day,Month,Year,LenderA,LenderB,LenderC,LenderD,LenderE,LenderF,LenderG,LenderH,LenderI,LenderJ,LenderK,totalU
13/10/2013,13,10,2013,74349,70109.93,11477.84,4884,0,61763.24,0,0,2442,0,2981,228007.01
13/11/2013,13,11,2013,73535,66083.05,9607.84,5170,0,61763.24,2563,0,2422.09,0,6844.09,227988.31
10/12/2013,10,12,2013,71027,93500,14300,4950,0,59400,12232,0,2640,0,7150,265199
23/01/2014,23,1,2014,0,15741,14300,3300,262944,0,3168,0,0,0,0,299453
05/03/2014,5,3,2014,0,14850,13200,3476,254177,0,4400,0,0,0,0,290103
05/04/2014,5,4,2014,0,38742,11000,0,249788,0,4807,0,0,0,0,304337
05/05/2014,5,5,2014,0,35783,10450,0,245410,0,1980,0,0,0,0,293623
06/06/2014,6,6,2014,0,55000,0,4400,241032,0,550,0,0,0,6600,307582
07/07/2014,7,7,2014,0,44000,880,0,236643,0,5500,0,550,0,0,287573
12/08/2014,12,8,2014,0,42207,3300,4499,232265,0,10450,0,0,0,19800,312521
12/09/2014,13,9,2014,0,32835,6237,0,227876,0,1947,0,0,0,15400,284295
13/10/2014,13,10,2014,0,22000,0,0,223498,0,1980,0,2200,0,22000,271678
01/11/2014,1,11,2014,0,18700,0,0,219120,0,15301,0,1243,0,42900,297264
02/12/2014,2,12,2014,0,37400,0,0,214731,0,11000,0,0,0,24200,287331
08/01/2015,8,1,2015,0,88814,0,0,210353,0,4499,0,0,0,11000,314666
02/02/2015,2,2,2015,0,86328,1100,0,205975,0,1980,0,0,0,0,295383
03/03/2015,3,3,2015,0,83281,0,0,201597,0,1595.88,0,0,0,0,286473.88
12/04/2015,12,4,2015,0,79486,0,0,197219,0,8800,0,2255,0,8800,296560
06/05/2015,6,5,2015,0,121869,0,0,192830,0,11671,0,2068,0,5258,333696
20/08/2015,20,8,2015,0,127396.06,14300,0,179685,0,55000,0,13200,0,0,389581.06
11/10/2015,11,10,2015,0,117172,13200,0,170918,0,0,0,12177,0,7700,321167
11/11/2015,11,11,2015,0,111892,12100,1100,166540,0,7700,0,12100,0,16500,327932
12/12/2015,12,12,2015,0,106876,1320,1100,162162,0,46321,49364.59,12496,0,8800,388439.59
13/01/2016,13,1,2016,0,103158,0,0,157773,0,42229,47168,13398,0,22803,386529
10/02/2016,10,2,2016,0,99198,1100,0,153395,0,45408,47850,11055,0,33055,391061
10/05/2016,10,5,2016,138754,0,0,0,140239,0,38951,56232,20900,0,26400,421476
08/06/2016,8,6,2016,136576,847,0,0,135850,0,36751,54384,23925,0,25300,413633
18/07/2016,18,7,2016,134469.06,301.62,0,0,131483,0,35629,52404,21560,0,25751,401597.68
20/08/2016,20,8,2016,132319,286,0,495,127105,0,34342,50358,22990,0,35860,403755
19/09/2016,19,9,2016,130174,1782,0,0,122716,0,58223,48312,5940,0,38500,405647
19/10/2016,19,10,2016,128018,0,55,0,118338,0,57233,46222,23100,0,23650,396616
20/11/2016,20,11,2016,123662,660,0,253,113949,0,57145,41877,23375,0,45100,406021
21/12/2016,21,12,2016,120978,146333,0,0,109571,0,0,27577,0,0,0,404459
22/01/2017,22,1,2017,119273,146366,1540,0,105182,0,2420,27676,4400,0,4400,411257
23/02/2017,23,2,2017,117073,146421,44,4103,100804,0,880,24442,957,0,13860,408584
16/03/2017,16,3,2017,117067.5,146476,0,0,96415,0,4785,24453,0,0,0,389196.5
30/04/2017,30,4,2017,112596,135531,0,0,0,0,1573,22506,5500,143000,0,420706
30/05/2017,30,5,2017,110352,132484,0,0,0,0,3531,38775,5654,135630,0,426426
31/07/2017,31,7,2017,105864,126588,0,880,11000,0,34628,37026,1870,132935,0,450791
12/09/2017,12,9,2017,103609,119988,0,880,11000,0,31889,21758,0,128315,33000,450439
13/10/2017,13,10,2017,101343,116688,0,3333,0,0,47960,24035,5819,125015,25080,449273
